year,dist,total_taxes_spent,taxes_min_salary,taxes_median_salary,taxes_max_salary,savings_min_salary,savings_median_salary,savings_max_salary
2015,NATIONAL ELEMENTARY,21634251.03,14150663.67,22603235.549999997,28088486.6,7483587.360000001,-968984.5199999958,-6454235.57
2015,OCEANSIDE UNIFIED,81116220.34,39852578.04,84485876.64,120528811.56,41263642.300000004,-3369656.299999997,-39412591.22
2015,POWAY UNIFIED,124070219.55999999,60562328.42,128305361.12,190396252.76,63507891.139999986,-4235141.560000017,-66326033.2
2015,RAMONA CITY UNIFIED,19470174.46,10137385.73,20288785.439999998,28026594.4,9332788.73,-818610.9799999967,-8556419.939999998
2015,SAN DIEGO COUNTY OFFICE OF EDUCATION,21414383.59,9217198.0,21869600.0,28858124.66,12197185.59,-455216.41000000015,-7443741.07
2015,SAN DIEGO UNIFIED,488491536.0,237580925.0,502469550.0,713469182.0,250910611.0,-13978014.0,-224977646.0
2015,SAN DIEGUITO UNION HIGH,49679670.32,23709935.759999998,52517121.33,72081174.92999999,25969734.560000002,-2837451.009999998,-22401504.609999992
2015,SAN MARCOS UNIFIED,11035047.77,6017123.21,11717255.389999999,14243460.7,5017924.56,-682207.6199999992,-3208412.9299999997
2015,SAN PASQUAL UNION ELEMENTARY,1777166.0,1333596.0,1838265.0,2362844.0,443570.0,-61099.0,-585678.0
2015,SAN YSIDRO ELEMENTARY,17124468.69,8827647.86,17925910.490000002,21062528.92,8296820.830000002,-801441.8000000007,-3938060.2300000004
2015,SOUTH BAY UNION,48686104.02,25054207.520000003,52148649.02,88793972.12000002,23631896.5,-3462545.0,-40107868.10000002
2015,SPENCER VALLEY ELEMENTARY,276650.42,210414.0,288080.16000000003,320027.36,66236.41999999998,-11429.740000000049,-43376.94
2015,SWEETWATER UNION HIGH,162538050.13,75215364.72,167417421.9,248568194.33999997,87322685.41,-4879371.770000011,-86030144.20999998
2015,VALLECITOS ELEMENTARY,891789.0,475070.0,952405.0,986640.0,416719.0,-60616.0,-94851.0
2015,VALLEY CENTER-PAUMA UNIFIED,14668180.879999999,8176780.7299999995,15535061.330000002,22293042.16,6491400.149999999,-866880.450000003,-7624861.280000001
2015,VISTA UNIFIED,94743017.36,43899351.69,99609674.72999999,149630854.16,50843665.67,-4866657.36999999,-54887836.8
2015,WARNER UNIFIED,668034.46,465954.66000000003,641939.84,1161146.15,202079.79999999993,26094.619999999995,-493111.68999999994
2016,ALPINE UNION ELEMENTARY,6369424.06,3516274.42,6800767.07,8235719.31,2853149.6399999997,-431343.0100000007,-1866295.25
2016,BONSALL UNIFIED,10133170.5,6590072.5,10167051.399999999,13970645.7,3543098.0,-33880.89999999851,-3837475.1999999993
2016,CAJON VALLEY UNION,78150002.0,37378547.0,80923467.0,129797431.0,40771455.0,-2773465.0,-51647429.0
2016,CARDIFF ELEMENTARY,3856849.42,2350478.93,4128912.42,4731348.2700000005,1506370.4899999998,-272063.0,-874498.8500000006
2016,CARLSBAD UNIFIED,39049277.0,21808822.0,40135207.0,51149488.0,17240455.0,-1085930.0,-12100211.0
2016,CHULA VISTA ELEMENTARY,124601561.88000001,75123123.8,128008383.97,193489618.64,49478438.08000001,-3406822.0899999887,-68888056.75999998
2016,CORONADO UNIFIED,12311319.0,6576854.0,12902525.0,17460200.0,5734465.0,-591206.0,-5148881.0
2016,DEHESA ELEMENTARY,660309.4199999999,473890.5,663564.8999999999,948181.7999999999,186418.91999999993,-3255.4799999999814,-287872.38
2016,DEL MAR UNION ELEMENTARY,24408522.22,12850743.370000001,25766411.78,30517843.62,11557778.849999998,-1357889.5600000024,-6109321.400000002
2016,ENCINITAS UNION ELEMENTARY,23074957.0,12674030.0,23827536.0,33275142.0,10400927.0,-752579.0,-10200185.0
2016,ESCONDIDO UNION,51979019.0,26250930.0,54532239.0,70989132.0,25728089.0,-2553220.0,-19010113.0
2016,ESCONDIDO UNION HIGH,34460958.78,17329508.4,34754712.25,56434126.7,17131450.380000003,-293753.4699999988,-21973167.92
2016,FALLBROOK UNION ELEMENTARY,23575609.0,14304432.0,24303791.0,43670053.0,9271177.0,-728182.0,-20094444.0
2016,FALLBROOK UNION HIGH,10465109.0,5567764.0,10878154.0,13908586.0,4897345.0,-413045.0,-3443477.0
2016,GROSSMONT UNION HIGH,79690686.0,37417544.0,81892776.0,122123444.0,42273142.0,-2202090.0,-42432758.0
2016,JAMUL-DULZURA UNION ELEMENTARY,2032850.0,1246999.0,2117825.0,2362725.0,785851.0,-84975.0,-329875.0
2016,JULIAN UNION HIGH,628586.1599999999,495223.80999999994,593794.57,804523.5700000001,133362.34999999998,34791.58999999997,-175937.41000000015
2016,LA MESA-SPRING VALLEY,41966250.0,25354727.0,43430388.0,55607527.0,16611523.0,-1464138.0,-13641277.0
2016,MOUNTAIN EMPIRE UNIFIED,6039897.12,3734425.12,5636495.52,9249376.520000001,2305472.0,403401.60000000056,-3209479.4000000013
2016,NATIONAL ELEMENTARY,24727625.89,13846709.090000002,25149391.799999997,35222687.41,10880916.799999999,-421765.9099999964,-10495061.519999996
2016,OCEANSIDE UNIFIED,71354876.0,37472298.0,74903569.0,108850358.0,33882578.0,-3548693.0,-37495482.0
2016,POWAY UNIFIED,68069069.0,38133416.0,69661761.0,113633664.0,29935653.0,-1592692.0,-45564595.0
2016,RAMONA CITY UNIFIED,17148687.0,9080882.0,17829814.0,25762912.0,8067805.0,-681127.0,-8614225.0
2016,RANCHO SANTA FE ELEMENTARY,4715096.99,2960570.3299999996,4746635.819999999,6666978.53,1754526.6600000006,-31538.829999999143,-1951881.54
2016,SAN DIEGO COUNTY OFFICE OF EDUCATION,24077213.0,12469830.0,24519479.0,31184226.0,11607383.0,-442266.0,-7107013.0
2016,SAN DIEGO UNIFIED,524293134.0,249632886.0,543011529.0,875093899.0,274660248.0,-18718395.0,-350800765.0
2016,SAN DIEGUITO UNION HIGH,56598918.0,30575489.1,59963516.5,85186325.30000001,26023428.9,-3364598.5,-28587407.300000012
2016,SAN PASQUAL UNION ELEMENTARY,2069790.0,1468950.0,2085675.0,2724800.0,600840.0,-15885.0,-655010.0
2016,SAN YSIDRO ELEMENTARY,21137272.0,7461258.0,22284548.0,26404188.0,13676014.0,-1147276.0,-5266916.0
2016,SOLANA BEACH ELEMENTARY,20024989.0,12140731.0,20482778.0,26864197.0,7884258.0,-457789.0,-6839208.0
2016,SOUTH BAY UNION,62519164.0,29464768.0,66531729.0,73979338.0,33054396.0,-4012565.0,-11460174.0
2016,SPENCER VALLEY ELEMENTARY,297369.48,233425.92,306832.14,342387.72,63943.55999999997,-9462.660000000033,-45018.23999999999
2016,SWEETWATER UNION HIGH,185775904.99,84623119.51,190728187.77,305597767.17999995,101152785.48,-4952282.780000001,-119821862.18999994
2016,VALLECITOS ELEMENTARY,1140263.0,557315.0,1253043.0,1355706.0,582948.0,-112780.0,-215443.0
2016,VALLEY CENTER-PAUMA UNIFIED,19093475.69,10456574.02,20131694.900000002,28687216.99,8636901.670000002,-1038219.2100000009,-9593741.299999997
2016,VISTA UNIFIED,98228696.0,40026302.0,102868421.0,169850384.0,58202394.0,-4639725.0,-71621688.0
2016,WARNER UNIFIED,928418.02,637075.0800000001,801085.21,1823394.74,291342.93999999994,127332.81000000006,-894976.72
2017,ALPINE UNION ELEMENTARY,6328582.13,3707126.84,6785102.32,8225041.0600000005,2621455.29,-456520.1900000004,-1896458.9300000006
2017,BORREGO SPRINGS UNIFIED,1529138.7300000002,1103554.8399999999,1632196.61,1897128.22,425583.89000000036,-103057.87999999989,-367989.48999999976
2017,CAJON VALLEY UNION,70739363.0,37550375.0,72917070.0,107121164.0,33188988.0,-2177707.0,-36381801.0
2017,CARDIFF ELEMENTARY,3528228.52,1990417.48,3781909.64,4237224.84,1537811.04,-253681.1200000001,-708996.3199999998
2017,CARLSBAD UNIFIED,38127985.0,20476891.0,39417141.0,50287091.0,17651094.0,-1289156.0,-12159106.0
2017,CHULA VISTA ELEMENTARY,140594061.0,80549285.0,143936476.0,226675599.0,60044776.0,-3342415.0,-86081538.0
2017,CORONADO UNIFIED,13555655.0,6975330.0,14334682.0,19648419.0,6580325.0,-779027.0,-6092764.0
2017,DEHESA ELEMENTARY,621216.1200000001,449089.02999999997,555721.3,924763.06,172127.09000000014,65494.820000000065,-303546.93999999994
2017,DEL MAR UNION ELEMENTARY,25117776.0,14870734.0,26514092.0,29739611.0,10247042.0,-1396316.0,-4621835.0
